facility_id,month_year,ndc11,rb_spend,rb_facility_state,rb_facility_zip3,rb_facility_city,rb_vendor_name
00,2024-01,00338000404,160.78,,,,AmerisourceBergen Drug Corporation
00,2024-01,63323082476,21.79,,,,Cardinal Health
00,2024-02,00338000404,225.17,,,,Drogueria Betances
00,2024-02,65219047220,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-03,00338000404,138.97,,,,AmerisourceBergen Drug Corporation
00,2024-04,00338000404,178.82,,,,Morris & Dickson
00,2024-04,63323086974,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-05,00338000404,44.26,,,,Cardinal Health
00,2024-05,63323068310,0.0,,,,Cardinal Health
00,2024-05,63323087074,0.0,,,,Cardinal Health
00,2024-05,65219047030,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-05,65219047220,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-05,65219047410,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-06,00338000404,243.43,,,,Henry Schein
00,2024-06,63323053075,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-06,63323082476,24.91,,,,Cardinal Health
00,2024-06,65219047030,0.0,,,,Cardinal Health
00,2024-07,00338000404,2046.2299999999996,,,,Cardinal Health
00,2024-07,63323053075,242.88,,,,Cardinal Health
00,2024-07,63323062610,23.5,,,,Cardinal Health
00,2024-07,63323082474,59.7,,,,Cardinal Health
00,2024-07,63323082475,45.36,,,,Cardinal Health
00,2024-07,63323082476,23.5,,,,Cardinal Health
00,2024-07,63323087074,0.0,,,,Cardinal Health
00,2024-07,63323087310,0.0,,,,Cardinal Health
00,2024-07,65219047030,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-07,65219047220,0.0,,,,Cardinal Health
00,2024-07,65219047410,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-07,65219047910,0.0,,,,Cardinal Health
00,2024-08,00338000404,323.52,,,,Henry Schein
00,2024-08,65219047030,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-08,65219047410,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-09,00338000404,145.05,,,,McKesson
00,2024-09,63323053075,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-09,65219047030,0.0,,,,Cardinal Health
00,2024-09,65219047410,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-09,65219047910,0.0,,,,Cardinal Health
00,2024-10,00338000404,85.32,,,,AmerisourceBergen Drug Corporation
00,2024-10,63323053075,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-10,63323062610,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-10,63323062625,60.33,,,,Cardinal Health
00,2024-10,63323062650,116.4,,,,Cardinal Health
00,2024-10,63323062655,44.62,,,,Cardinal Health
00,2024-10,65219047220,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-10,65219047410,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-10,65219047910,0.0,,,,Cardinal Health
00,2024-11,00338000404,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-11,63323053075,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-11,63323062610,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-11,65219014410,0.0,,,,Cardinal Health
00,2024-11,65219047220,0.0,,,,Cardinal Health
00,2024-11,65219047410,0.0,,,,Cardinal Health
00,2024-12,00338000404,377.28999999999996,,,,McKesson
00,2024-12,63323053075,0.0,,,,AmerisourceBergen Drug Corporation
00,2024-12,63323086910,0.0,,,,Cardinal Health
00,2024-12,65219022010,0.0,,,,Cardinal Health P.R.
00,2024-12,65219047410,0.0,,,,Cardinal Health
00,2025-01,00338000404,1581.6699999999998,,,,Cardinal Health
00,2025-01,63323062610,0.0,,,,AmerisourceBergen Drug Corporation
00,2025-01,63323086910,0.0,,,,Cardinal Health
00,2025-01,65219046450,0.0,,,,Cardinal Health
00,2025-01,65219047030,0.0,,,,Cardinal Health
00,2025-02,00338000404,504.87,,,,AmerisourceBergen Drug Corporation
00,2025-02,63323086910,0.0,,,,Cardinal Health
00,2025-02,65219022225,0.0,,,,Cardinal Health
00,2025-02,65219045830,0.0,,,,Cardinal Health
00,2025-02,65219046020,0.0,,,,Cardinal Health
00,2025-02,65219047030,0.0,,,,Cardinal Health
00,2025-03,00338000404,215.96,,,,Henry Schein
00,2025-03,63323086910,0.0,,,,Cardinal Health
00,2025-03,65219046660,0.0,,,,Cardinal Health
00,2025-03,65219046850,0.0,,,,Cardinal Health
00,2025-03,65219047030,0.0,,,,Cardinal Health
